site,url,config,repetition,outcome,first_content_ms,dcl_ms,load_ms,cdp_ready_ms,observation_ms,challenge_seen,error,status,server,cf_ray,cf_mitigated,cf_challenge_documents,title,final_url,text_length,selector_count,links,frames,requests,responses,failed_requests,js_exceptions,probe_errors,encoded_bytes,evidence,error_examples,network_error_examples,text_excerpt,audited_outcome,audited_content_ms,audit_note,challenge_exit_ms,interaction,bot_detection_verdict
amiibo,https://demo-browser.lightpanda.io/amiibo/,chrome,1,content_observed,253.5397999745328,184.64490000042133,184.67499999678694,506.35999999940395,3275.50039999187,False,,200,cloudflare,True,,0,Sandy,https://demo-browser.lightpanda.io/amiibo/,154,12,12,0,5,5,0,0,0,187304,E:\GitHub\mimic\.build\live-browser-comparison-final-20260912\amiibo-chrome-r1\result.json,[],[],Sandy Game Animal Crossing Serie Animal Crossing See also IsabelleCoachBoo - SoccerMetal Mario - Horse RacingTybaltRexRidleyKenSaharahLuke Previous | Next,content_observed,253.5397999745328,,,,
amiibo,https://demo-browser.lightpanda.io/amiibo/,lightpanda-default,1,content_observed,251.72410000232048,85.41639999020845,85.42469999520108,511.8691999814473,3272.6200000033714,False,,200,cloudflare,True,,0,Sandy,https://demo-browser.lightpanda.io/amiibo/,154,12,12,0,3,3,0,0,0,0,E:\GitHub\mimic\.build\live-browser-comparison-final-20260912\amiibo-lightpanda-default-r1\result.json,[],[],Sandy Game Animal Crossing Serie Animal Crossing See also IsabelleCoachBoo - SoccerMetal Mario - Horse RacingTybaltRexRidleyKenSaharahLuke Previous | Next,content_observed,251.72410000232048,,,,
amiibo,https://demo-browser.lightpanda.io/amiibo/,lightpanda-full,1,content_observed,251.60150000010617,117.04270000336692,117.05140001140535,1020.0276999967173,3277.176400006283,False,,200,cloudflare,True,,0,Sandy,https://demo-browser.lightpanda.io/amiibo/,154,12,12,0,4,4,0,0,0,182974,E:\GitHub\mimic\.build\live-browser-comparison-final-20260912\amiibo-lightpanda-full-r1\result.json,[],[],Sandy Game Animal Crossing Serie Animal Crossing See also IsabelleCoachBoo - SoccerMetal Mario - Horse RacingTybaltRexRidleyKenSaharahLuke Previous | Next,content_observed,251.60150000010617,,,,
amiibo,https://demo-browser.lightpanda.io/amiibo/,mimic,1,content_observed,654.1455000115093,396.0658000141848,396.31320000626147,506.4577000157442,3680.0906000135,False,,200,cloudflare,True,,0,Amiibo Character,https://demo-browser.lightpanda.io/amiibo/,154,12,12,0,5,5,0,0,0,186763,E:\GitHub\mimic\.build\live-browser-comparison-final-20260912\amiibo-mimic-r1\result.json,[],[],Sandy Game Animal Crossing Serie Animal Crossing See also IsabelleCoachBoo - SoccerMetal Mario - Horse RacingTybaltRexRidleyKenSaharahLuke Previous | Next,content_observed,654.1455000115093,,,,
browserscan,https://www.browserscan.net/bot-detection,chrome,1,content_observed,1281.645799987018,740.8856999827549,808.7202000024263,506.5951000142377,4317.05489999149,False,,200,,False,,0,BrowserScan - Robot Detection/WebDriver | BrowserScan,https://www.browserscan.net/bot-detection,16343,1,83,10,50,49,4,0,0,1684240,E:\GitHub\mimic\.build\live-browser-comparison-final-20260912\browserscan-chrome-r1\result.json,[],"['net::ERR_ABORTED', 'net::ERR_ABORTED', 'net::ERR_ABORTED', 'net::ERR_ABORTED']","BrowserScan blog Antidetect Browser UtilitiesInternet Speed TestOnline speed testDNS Leak TestFree DNS Leak DetectionPort ScannerOnline scanning of high-risk portsWebRTC leak TestWebRTC IP leak detectionIP address lookupFree IP address queryUserAgent ParseFree UserAgent ParserHTTP2/SSL/TLS TestDetect http fingerprint informationClient HintsThe successor to User-AgentPlugin DetectionBrowser plugin detectionBot DetectionAutomated detection of robots/scripts/plugins, etc.Canvas DetectionCanvas fingerprint detectionKernel detectionCheck if the kernel and UA matchWebGPU Browser ReportThe successor to WebGLGyroscope VisualizerVisualize device orientationTime zone detectionChecking time zone consistencyMedia DevicesDetecting media devicesCurrency ConverterGlobal real-time exchange rate conversionCookie ConverterOnline Cookie Format ConverterGet 2FA CodeOnline 2FA Authenticator ENSign In blog More ToolsMedia DevicesKernel detectionUserAgent ParseInternet Speed TestIP address lookupCookie Conve",content_observed,1281.645799987018,,,,Robot
browserscan,https://www.browserscan.net/bot-detection,lightpanda-default,1,content_not_confirmed,,529.0669999958482,626.5660999924876,1007.7999000204727,35206.32669999031,False,,200,,False,,0,BrowserScan - Robot Detection/WebDriver | BrowserScan,https://www.browserscan.net/bot-detection,9550,1,83,3,19,19,0,0,0,990589,E:\GitHub\mimic\.build\live-browser-comparison-final-20260912\browserscan-lightpanda-default-r1\result.json,[],[],"BrowserScan blog Antidetect Browser UtilitiesInternet Speed TestOnline speed testDNS Leak TestFree DNS Leak DetectionPort ScannerOnline scanning of high-risk portsWebRTC leak TestWebRTC IP leak detectionIP address lookupFree IP address queryUserAgent ParseFree UserAgent ParserHTTP2/SSL/TLS TestDetect http fingerprint informationClient HintsThe successor to User-AgentPlugin DetectionBrowser plugin detectionBot DetectionAutomated detection of robots/scripts/plugins, etc.Canvas DetectionCanvas fingerprint detectionKernel detectionCheck if the kernel and UA matchWebGPU Browser ReportThe successor to WebGLGyroscope VisualizerVisualize device orientationTime zone detectionChecking time zone consistencyMedia DevicesDetecting media devicesCurrency ConverterGlobal real-time exchange rate conversionCookie ConverterOnline Cookie Format ConverterGet 2FA CodeOnline 2FA Authenticator ENSign In blog More ToolsMedia DevicesKernel detectionUserAgent ParseInternet Speed TestIP address lookupCookie Conve",content_not_confirmed,,,,,
browserscan,https://www.browserscan.net/bot-detection,lightpanda-full,1,content_not_confirmed,,649.024999991525,649.0492000011727,1010.7813999929931,35226.912600017386,False,,200,,False,,0,BrowserScan - Robot Detection/WebDriver | BrowserScan,https://www.browserscan.net/bot-detection,9133,1,83,0,9,9,0,0,0,124732,E:\GitHub\mimic\.build\live-browser-comparison-final-20260912\browserscan-lightpanda-full-r1\result.json,[],[],"BrowserScan blog Antidetect Browser UtilitiesInternet Speed TestOnline speed testDNS Leak TestFree DNS Leak DetectionPort ScannerOnline scanning of high-risk portsWebRTC leak TestWebRTC IP leak detectionIP address lookupFree IP address queryUserAgent ParseFree UserAgent ParserHTTP2/SSL/TLS TestDetect http fingerprint informationClient HintsThe successor to User-AgentPlugin DetectionBrowser plugin detectionBot DetectionAutomated detection of robots/scripts/plugins, etc.Canvas DetectionCanvas fingerprint detectionKernel detectionCheck if the kernel and UA matchWebGPU Browser ReportThe successor to WebGLGyroscope VisualizerVisualize device orientationTime zone detectionChecking time zone consistencyMedia DevicesDetecting media devicesCurrency ConverterGlobal real-time exchange rate conversionCookie ConverterOnline Cookie Format ConverterGet 2FA CodeOnline 2FA Authenticator ENSign InJoin now Sign In with Google blog More ToolsMedia DevicesKernel detectionUserAgent ParseInternet Speed TestI",content_not_confirmed,,,,,
browserscan,https://www.browserscan.net/bot-detection,mimic,1,content_observed,2085.5260000098497,1154.1855999967083,1502.7318999927957,505.4521999845747,5638.040499994531,False,,200,,False,,0,BrowserScan - Robot Detection/WebDriver | BrowserScan,https://www.browserscan.net/bot-detection,16099,1,83,0,27,27,0,0,0,2698408,E:\GitHub\mimic\.build\live-browser-comparison-final-20260912\browserscan-mimic-r1\result.json,[],[],"BrowserScan blog Antidetect Browser UtilitiesInternet Speed TestOnline speed testDNS Leak TestFree DNS Leak DetectionPort ScannerOnline scanning of high-risk portsWebRTC leak TestWebRTC IP leak detectionIP address lookupFree IP address queryUserAgent ParseFree UserAgent ParserHTTP2/SSL/TLS TestDetect http fingerprint informationClient HintsThe successor to User-AgentPlugin DetectionBrowser plugin detectionBot DetectionAutomated detection of robots/scripts/plugins, etc.Canvas DetectionCanvas fingerprint detectionKernel detectionCheck if the kernel and UA matchWebGPU Browser ReportThe successor to WebGLGyroscope VisualizerVisualize device orientationTime zone detectionChecking time zone consistencyMedia DevicesDetecting media devicesCurrency ConverterGlobal real-time exchange rate conversionCookie ConverterOnline Cookie Format ConverterGet 2FA CodeOnline 2FA Authenticator ENSign In blog More ToolsMedia DevicesKernel detectionUserAgent ParseInternet Speed TestIP address lookupCookie Conve",content_observed,2085.5260000098497,,,,Normal
cf-lab,https://www.scrapingcourse.com/cloudflare-challenge,chrome,1,challenge_unresolved,,149.76759999990463,2712.4546999984886,505.7395999901928,35096.706300013466,True,,403,cloudflare,True,challenge,1,Один момент…,https://www.scrapingcourse.com/cloudflare-challenge,352,1,2,0,10,7,0,0,0,155006,E:\GitHub\mimic\.build\live-browser-comparison-final-20260912\cf-lab-chrome-r1\result.json,[],[],"www.scrapingcourse.comВыполнение проверки безопасностиЭтот веб-сайт использует сервис безопасности для защиты от вредоносных ботов. Эта страница отображается, пока веб-сайт проверяет, что вы не бот.Проверка выполнена успешно. Ожидание ответа www.scrapingcourse.comRay ID: a3a0e81deca7da09Производительность и безопасность с CloudflareКонфиденциальность",challenge_unresolved,,,,,
cf-lab,https://www.scrapingcourse.com/cloudflare-challenge,lightpanda-default,1,challenge_unresolved,,71.91810000222176,169.68289998476394,508.31999999354593,35017.401399993105,True,,403,cloudflare,True,challenge,1,Just a moment...,https://www.scrapingcourse.com/cloudflare-challenge,757,1,4,1,3,3,0,0,0,0,E:\GitHub\mimic\.build\live-browser-comparison-final-20260912\cf-lab-lightpanda-default-r1\result.json,[],[],"www.scrapingcourse.comPerforming security verificationThis website uses a security service to protect against malicious bots. This page is displayed while the website verifies you are not a bot.Verification successful. Waiting for www.scrapingcourse.com to respondWhy is this verification taking longer?This verification can take longer due to an older computer or a slow internet connection.What to do next:Wait briefly. Refreshing the page will restart the security verification and may take longer.If the verification still does not complete, refresh this page.If you are still stuck on this page after a page refresh, refer to Cloudflare’s troubleshooting documentation for more help.Ray ID: a3a0e9db2c7a2dc7Performance and Security by CloudflarePrivacy",challenge_unresolved,,,,,
